販売日時,拠点,アイテムコード,販売前在庫,販売数,売上金額
2023-04-01,東京,A001,100,10,1000
2023-04-02,東京,A002,80,15,1500
2023-04-03,東京,A003,50,5,500
2023-04-04,東京,A001,90,20,2000
2023-04-05,東京,A002,65,10,1000
2023-04-06,東京,A003,45,8,800
2023-04-07,東京,A001,85,12,1200
2023-04-08,東京,A002,55,9,900
2023-04-09,東京,A003,40,11,1100
2023-04-10,東京,A001,80,14,1400
2023-04-11,東京,A002,50,7,700
2023-04-12,東京,A003,35,6,600
2023-04-13,東京,A001,75,13,1300
2023-04-14,東京,A002,45,16,1600
2023-04-15,東京,A003,30,10,1000
2023-04-16,東京,A001,70,18,1800
2023-04-17,東京,A002,40,20,2000
2023-04-18,東京,A003,25,5,500
2023-04-19,東京,A001,65,15,1500
2023-04-20,東京,A002,35,12,1200
2023-04-21,東京,A003,20,7,700
2023-04-22,東京,A001,60,11,1100
2023-04-23,東京,A002,30,9,900
2023-04-24,東京,A003,15,8,800
2023-04-25,東京,A001,55,14,1400
2023-04-26,東京,A002,25,16,1600
2023-04-27,東京,A003,10,10,1000
2023-04-28,東京,A001,50,18,1800
2023-04-29,東京,A002,20,20,2000
2023-04-30,東京,A003,5,5,500
2023-05-01,東京,A001,45,10,1000
2023-05-02,東京,A002,15,12,1200
2023-05-03,東京,A003,0,6,600
2023-05-04,東京,A001,40,14,1400
2023-05-05,東京,A002,10,8,800
2023-05-06,東京,A003,5,7,700
2023-05-07,東京,A001,35,16,1600
2023-05-08,東京,A002,5,10,1000
2023-05-09,東京,A003,0,12,1200
2023-05-10,東京,A001,30,18,1800
2023-05-11,東京,A002,10,20,2000
2023-05-12,東京,A003,5,5,500
2023-05-13,東京,A001,25,9,900
2023-05-14,東京,A002,0,14,1400
2023-05-15,東京,A003,5,8,800
2023-05-16,東京,A001,20,12,1200
2023-05-17,東京,A002,0,7,700
2023-05-18,東京,A003,5,11,1100
2023-05-19,東京,A001,15,16,1600
2023-05-20,東京,A002,0,9,900
2023-05-21,東京,A003,5,20,2000
2023-05-22,東京,A001,10,5,500
2023-05-23,東京,A002,0,14,1400
2023-05-24,東京,A003,5,8,800
2023-05-25,東京,A001,5,10,1000
2023-05-26,東京,A002,0,12,1200
2023-05-27,東京,A003,5,18,1800
2023-05-28,東京,A001,0,20,2000
2023-05-29,東京,A002,5,5,500
2023-05-30,東京,A003,0,10,1000
2022-04-01,東京,A001,110,12,1200
2022-04-02,東京,A002,90,14,1400
2022-04-03,東京,A003,70,6,600
2022-04-04,東京,A001,100,16,1600
2022-04-05,東京,A002,80,18,1800
2022-04-06,東京,A003,60,10,1000
2022-04-07,東京,A001,90,8,800
2022-04-08,東京,A002,70,12,1200
2022-04-09,東京,A003,50,14,1400
2022-04-10,東京,A001,80,16,1600
2022-04-11,東京,A002,60,18,1800
2022-04-12,東京,A003,40,10,1000
2022-04-13,東京,A001,70,6,600
2022-04-14,東京,A002,50,14,1400
2022-04-15,東京,A003,30,16,1600
2022-04-16,東京,A001,60,18,1800
2022-04-17,東京,A002,40,20,2000
2022-04-18,東京,A003,20,10,1000
2022-04-19,東京,A001,50,12,1200
2022-04-20,東京,A002,30,14,1400
2022-04-21,東京,A003,10,16,1600
2022-04-22,東京,A001,40,18,1800
2022-04-23,東京,A002,20,20,2000
2022-04-24,東京,A003,5,10,1000
2022-04-25,東京,A001,30,12,1200
2022-04-26,東京,A002,10,14,1400
2022-04-27,東京,A003,0,16,1600
2022-04-28,東京,A001,20,18,1800
2022-04-29,東京,A002,0,20,2000
2022-04-30,東京,A003,10,10,1000
2022-05-01,東京,A001,10,12,1200
2022-05-02,東京,A002,0,14,1400
2022-05-03,東京,A003,10,16,1600
2022-05-04,東京,A001,0,18,1800
2022-05-05,東京,A002,10,20,2000
2022-05-06,東京,A003,0,10,1000
2022-05-07,東京,A001,10,12,1200
2022-05-08,東京,A002,0,14,1400
2022-05-09,東京,A003,10,16,1600
2022-05-10,東京,A001,0,18,1800
2022-05-11,東京,A002,10,20,2000
2022-05-12,東京,A003,0,10,1000
